student_id,name,gender,date_of_birth,age,phone_number,ward,parent_availability,source_of_income,special_circumstance,discipline,enrollment_year,KCPE_score,KCPE_grade,application_id,bursary_name,application_deadline,application_date,status,requested_amount,approved_amount,disbursement_status
79,Kyle Anderson,Female,2008-01-27,16,0775554315,Tuwani,0,No,None,Fair,2022,291,D,79,Constituency Bursary Fund,2024-06-30,2023-12-15,approved,14000,14000,Yes
80,Kyle Holloway,Male,2011-07-03,13,0796208621,Saboti,1,Yes,Marginalized,Good,2020,171,E,80,Constituency Bursary Fund,2024-06-30,2024-01-13,approved,17000,17000,Yes
81,Paul Brooks,Male,2008-05-27,16,0711933358,Tuwani,2,Yes,Special Needs,Good,2022,213,E,81,Constituency Bursary Fund,2024-06-30,2023-10-20,approved,11000,11000,Yes
82,Carrie Brooks,Male,2006-06-12,18,0781834565,Kinyoro,0,No,Special Needs,Fair,2020,200,E,82,Constituency Bursary Fund,2024-06-30,2024-05-04,approved,17000,17000,Yes
83,William Williams,Female,2010-08-06,13,0722667189,Kinyoro,1,No,Special Needs,Good,2021,310,C,83,Constituency Bursary Fund,2024-06-30,2023-11-13,pending,29000,0,No
84,Kevin Short,Male,2006-04-08,18,0784475134,Saboti,0,No,Marginalized,Good,2020,160,E,84,Constituency Bursary Fund,2024-06-30,2024-06-10,approved,15000,15000,Yes
85,Daniel Mann,Male,2007-03-10,17,0744628410,Matisi,1,No,Special Needs,Poor,2020,430,A,85,Constituency Bursary Fund,2024-06-30,2023-10-22,approved,21000,21000,Yes
86,Johnny Wagner,Female,2009-03-18,15,0763714466,Saboti,2,No,Marginalized,Poor,2019,227,E,86,Constituency Bursary Fund,2024-06-30,2024-03-30,approved,24000,24000,Yes
87,Joseph Lucas,Male,2009-07-05,15,0790157859,Matisi,0,No,Marginalized,Good,2021,490,A,87,Constituency Bursary Fund,2024-06-30,2023-11-05,approved,25000,25000,Yes
88,Destiny Cooley,Male,2008-07-02,16,0709020322,Tuwani,2,No,None,Good,2021,166,E,88,Constituency Bursary Fund,2024-06-30,2024-07-06,approved,11000,11000,Yes
89,Sabrina King,Female,2010-12-27,13,0710100188,Kinyoro,2,Yes,None,Good,2020,295,D,89,Constituency Bursary Fund,2024-06-30,2024-02-19,approved,23000,23000,Yes
90,Jennifer Keller,Female,2006-04-18,18,0721231147,Matisi,0,No,Special Needs,Poor,2022,415,A,90,Constituency Bursary Fund,2024-06-30,2023-07-29,pending,19000,0,No
91,Jane Hamilton,Female,2006-03-04,18,0792090818,Tuwani,2,Yes,None,Fair,2019,304,C,91,Constituency Bursary Fund,2024-06-30,2023-09-25,approved,14000,14000,Yes
92,Richard Haas,Female,2008-10-26,15,0779498547,Saboti,2,Yes,Marginalized,Poor,2020,340,C,92,Constituency Bursary Fund,2024-06-30,2023-12-01,approved,19000,19000,Yes
93,Daniel Wood,Male,2008-12-23,15,0748062834,Machewa,1,No,Special Needs,Good,2019,402,A,93,Constituency Bursary Fund,2024-06-30,2024-01-10,pending,21000,0,No
94,Pam Burke,Male,2010-12-06,13,0776749307,Machewa,1,No,Marginalized,Fair,2019,272,D,94,Constituency Bursary Fund,2024-06-30,2024-05-07,approved,18000,18000,Yes
95,Raymond Guerrero,Male,2008-10-29,15,0745491005,Matisi,2,Yes,Marginalized,Fair,2020,409,A,95,Constituency Bursary Fund,2024-06-30,2023-12-03,approved,28000,28000,Yes
96,Anna Stuart,Male,2009-12-14,14,0794318732,Saboti,1,No,Marginalized,Fair,2021,396,B,96,Constituency Bursary Fund,2024-06-30,2024-07-02,approved,12000,12000,Yes
97,Mary Joseph,Female,2005-07-25,18,0757189260,Kinyoro,1,Yes,Special Needs,Poor,2021,427,A,97,Constituency Bursary Fund,2024-06-30,2024-07-16,approved,19000,19000,Yes
98,Rachel Stokes,Female,2007-03-04,17,0770316704,Saboti,2,No,None,Poor,2019,201,E,98,Constituency Bursary Fund,2024-06-30,2023-08-28,pending,10000,0,No
99,Mr. Christopher Thompson,Male,2007-03-30,17,0760236812,Kinyoro,2,No,Special Needs,Good,2019,281,D,99,Constituency Bursary Fund,2024-06-30,2024-04-08,approved,13000,13000,Yes
100,Lee Wallace,Male,2008-07-19,16,0794696360,Kinyoro,1,No,Marginalized,Poor,2020,387,B,100,Constituency Bursary Fund,2024-06-30,2024-07-13,approved,19000,19000,Yes
101,Monica Potter,Female,2009-08-21,14,0717682436,Tuwani,2,No,Marginalized,Fair,2021,496,A,101,Constituency Bursary Fund,2024-06-30,2023-12-18,approved,29000,29000,Yes
102,Nicole Davis,Male,2011-04-08,13,0742693207,Machewa,2,No,Special Needs,Good,2019,199,E,102,Constituency Bursary Fund,2024-06-30,2023-10-11,approved,20000,20000,Yes
103,Andrew Dickerson,Female,2005-12-23,18,0760427064,Tuwani,1,Yes,Marginalized,Poor,2019,497,A,103,Constituency Bursary Fund,2024-06-30,2023-10-19,approved,29000,29000,Yes
104,Holly Vasquez,Male,2007-11-15,16,0739274228,Saboti,0,No,None,Good,2020,439,A,104,Constituency Bursary Fund,2024-06-30,2024-02-08,approved,11000,11000,Yes
105,Thomas Reed,Male,2008-06-04,16,0746488801,Matisi,0,No,Special Needs,Good,2021,247,E,105,Constituency Bursary Fund,2024-06-30,2024-07-19,approved,25000,25000,Yes
106,Abigail Russell,Male,2008-01-08,16,0741014107,Machewa,2,No,Special Needs,Poor,2019,293,D,106,Constituency Bursary Fund,2024-06-30,2024-02-12,approved,27000,27000,Yes
107,Juan Gordon,Male,2007-09-29,16,0787250141,Tuwani,2,Yes,None,Poor,2020,200,E,107,Constituency Bursary Fund,2024-06-30,2023-11-19,approved,15000,15000,Yes
108,Christopher Robinson,Male,2006-01-21,18,0780794030,Kinyoro,0,No,None,Fair,2022,388,B,108,Constituency Bursary Fund,2024-06-30,2024-03-27,approved,13000,13000,Yes
109,Joann Jackson,Female,2008-05-23,16,0744551304,Tuwani,0,No,None,Fair,2021,166,E,109,Constituency Bursary Fund,2024-06-30,2024-06-29,approved,29000,29000,Yes
110,Justin Dunn,Female,2007-05-06,17,0742816764,Matisi,0,No,None,Poor,2022,471,A,110,Constituency Bursary Fund,2024-06-30,2024-06-08,approved,10000,10000,Yes
111,Brianna Wong,Female,2011-02-24,13,0797494455,Matisi,2,No,None,Poor,2020,181,E,111,Constituency Bursary Fund,2024-06-30,2024-06-01,pending,29000,0,No
112,Haley Barajas,Female,2009-01-19,15,0792458180,Saboti,2,No,Special Needs,Poor,2020,312,C,112,Constituency Bursary Fund,2024-06-30,2024-04-15,approved,30000,30000,Yes
113,Cassandra Moreno,Female,2006-01-11,18,0769985745,Tuwani,2,No,Special Needs,Poor,2022,341,C,113,Constituency Bursary Fund,2024-06-30,2024-02-08,approved,22000,22000,Yes
114,Jodi Henderson,Female,2011-01-13,13,0718931259,Tuwani,1,No,Marginalized,Fair,2021,233,E,114,Constituency Bursary Fund,2024-06-30,2024-04-12,pending,21000,0,No
115,Kimberly Carter,Male,2006-03-26,18,0788154376,Kinyoro,0,No,None,Poor,2019,378,B,115,Constituency Bursary Fund,2024-06-30,2023-10-22,approved,27000,27000,Yes
116,Mitchell Brock,Male,2010-11-11,13,0796617348,Matisi,2,No,None,Fair,2020,324,C,116,Constituency Bursary Fund,2024-06-30,2024-01-02,approved,18000,18000,Yes
117,Lindsey Figueroa,Female,2009-04-03,15,0766373229,Machewa,1,Yes,Marginalized,Fair,2022,491,A,117,Constituency Bursary Fund,2024-06-30,2024-04-21,approved,26000,26000,Yes
118,James Garcia,Female,2007-09-19,16,0755890854,Machewa,0,No,None,Fair,2019,182,E,118,Constituency Bursary Fund,2024-06-30,2023-10-23,approved,26000,26000,Yes
119,Tyrone Flowers,Female,2007-03-23,17,0759020776,Machewa,1,Yes,Special Needs,Fair,2022,218,E,119,Constituency Bursary Fund,2024-06-30,2024-05-05,approved,21000,21000,Yes
120,Grace Marshall,Female,2005-11-05,18,0745689790,Machewa,2,No,Special Needs,Good,2022,277,D,120,Constituency Bursary Fund,2024-06-30,2024-02-08,approved,15000,15000,Yes
121,Margaret Navarro,Female,2006-02-27,18,0780204058,Matisi,1,No,Special Needs,Poor,2020,238,E,121,Constituency Bursary Fund,2024-06-30,2023-07-31,approved,13000,13000,Yes
122,Matthew Howell,Female,2006-03-29,18,0752674148,Matisi,1,Yes,Special Needs,Good,2020,197,E,122,Constituency Bursary Fund,2024-06-30,2024-06-02,approved,23000,23000,Yes
123,Jessica Leon,Female,2007-08-03,16,0745090340,Matisi,1,No,None,Good,2019,412,A,123,Constituency Bursary Fund,2024-06-30,2024-06-17,pending,24000,0,No
124,Thomas Hobbs,Male,2005-11-05,18,0749979605,Saboti,2,Yes,Marginalized,Poor,2019,455,A,124,Constituency Bursary Fund,2024-06-30,2024-01-04,approved,30000,30000,Yes
125,Adrian Hubbard,Female,2006-06-11,18,0788227021,Tuwani,0,No,Special Needs,Good,2021,320,C,125,Constituency Bursary Fund,2024-06-30,2024-04-20,approved,18000,18000,Yes
126,Jacob Davis,Female,2008-09-09,15,0798023182,Saboti,2,No,Special Needs,Poor,2021,354,B,126,Constituency Bursary Fund,2024-06-30,2024-06-26,approved,25000,25000,Yes
127,Maurice Park,Male,2006-09-15,17,0714496621,Matisi,0,No,None,Poor,2019,207,E,127,Constituency Bursary Fund,2024-06-30,2023-09-28,approved,10000,10000,Yes
128,Ruben Thompson,Female,2010-07-26,13,0734864241,Tuwani,2,Yes,None,Poor,2019,237,E,128,Constituency Bursary Fund,2024-06-30,2024-03-02,approved,16000,16000,Yes
129,Jennifer Davenport,Female,2006-05-19,18,0780998929,Machewa,0,No,None,Good,2019,326,C,129,Constituency Bursary Fund,2024-06-30,2023-10-07,approved,14000,14000,Yes
130,Danielle Mccall,Male,2009-03-06,15,0711493854,Tuwani,0,No,Special Needs,Good,2019,436,A,130,Constituency Bursary Fund,2024-06-30,2024-06-04,approved,20000,20000,Yes
131,Anthony Wallace,Female,2011-01-18,13,0796557265,Tuwani,0,No,None,Poor,2022,267,D,131,Constituency Bursary Fund,2024-06-30,2024-06-21,approved,25000,25000,Yes
132,Jerry Page,Male,2006-03-12,18,0783151233,Kinyoro,2,Yes,Special Needs,Poor,2022,168,E,132,Constituency Bursary Fund,2024-06-30,2024-05-02,approved,16000,16000,Yes
133,Holly Smith,Male,2007-02-16,17,0716807909,Tuwani,0,No,None,Good,2019,427,A,133,Constituency Bursary Fund,2024-06-30,2024-02-07,approved,13000,13000,Yes
134,Mary White,Female,2009-05-08,15,0717347677,Saboti,2,Yes,Special Needs,Good,2021,335,C,134,Constituency Bursary Fund,2024-06-30,2024-03-24,approved,11000,11000,Yes
135,Brandon Cooper,Female,2009-09-22,14,0791293089,Saboti,1,Yes,Special Needs,Good,2019,484,A,135,Constituency Bursary Fund,2024-06-30,2023-09-10,approved,13000,13000,Yes
136,Brian Chandler,Male,2005-10-31,18,0733537445,Matisi,2,No,Special Needs,Good,2022,196,E,136,Constituency Bursary Fund,2024-06-30,2024-04-21,approved,28000,28000,Yes
137,Danielle Hoffman,Female,2010-04-04,14,0768101851,Machewa,1,No,None,Good,2019,315,C,137,Constituency Bursary Fund,2024-06-30,2024-04-09,approved,26000,26000,Yes
138,Morgan Hopkins,Male,2007-01-02,17,0775243547,Saboti,0,No,Marginalized,Fair,2019,350,B,138,Constituency Bursary Fund,2024-06-30,2023-08-01,approved,10000,10000,Yes
139,Howard Baker,Female,2006-01-03,18,0760199578,Machewa,1,Yes,None,Poor,2022,368,B,139,Constituency Bursary Fund,2024-06-30,2023-09-09,approved,30000,30000,Yes
140,Kristin Cummings,Male,2009-08-31,14,0748503477,Kinyoro,1,No,Special Needs,Poor,2021,162,E,140,Constituency Bursary Fund,2024-06-30,2023-10-12,approved,14000,14000,Yes
141,Elizabeth Davenport,Female,2010-09-10,13,0724971714,Matisi,0,No,Marginalized,Poor,2022,181,E,141,Constituency Bursary Fund,2024-06-30,2024-04-14,approved,22000,22000,Yes
142,Robert Gordon,Female,2010-09-16,13,0733816840,Kinyoro,2,Yes,Marginalized,Good,2021,193,E,142,Constituency Bursary Fund,2024-06-30,2023-12-11,approved,28000,28000,Yes
143,Thomas Haley,Female,2006-05-11,18,0700642384,Tuwani,1,Yes,Special Needs,Poor,2021,405,A,143,Constituency Bursary Fund,2024-06-30,2024-02-06,approved,15000,15000,Yes
144,David Perry,Male,2006-09-27,17,0721786607,Machewa,1,Yes,Special Needs,Good,2022,452,A,144,Constituency Bursary Fund,2024-06-30,2023-10-26,approved,18000,18000,Yes
145,Brian Mack,Male,2005-08-24,18,0728333626,Matisi,1,Yes,None,Poor,2020,253,D,145,Constituency Bursary Fund,2024-06-30,2024-01-19,approved,12000,12000,Yes
146,Elijah Mccarty,Male,2008-03-21,16,0762693015,Saboti,0,No,None,Good,2020,215,E,146,Constituency Bursary Fund,2024-06-30,2024-07-12,pending,21000,0,No
147,Joel Edwards,Female,2006-04-23,18,0727593354,Saboti,0,No,Marginalized,Good,2019,188,E,147,Constituency Bursary Fund,2024-06-30,2023-09-30,approved,12000,12000,Yes
